Project #,Project Name,Amount,PIC,Status (%),Fcst %,Forecast Amount,Completed
CMRP24020067,Amherst OT Network Devices,14858481.42,EMP,85.0,15.0,2228772.21,No
CMRP23050125,URC Pampanga-1 Central Monitoring System Integration Phase II,2703103.95,KRM,66.8,36.8,994766.98,Yes
CMRP24090403,URC Pamp-1 XO Process PLC Upgrade,2100012.29,JBN,70.6,40.6,853069.47,Yes
CMRP24080304,Netpac Gentry BMS Installation - CORPO,1842946.43,JNL,30.0,42.0,774037.50,No
CMRP24050176,LBI MDI Refrigeration Automation,4897994.12,EMP,87.0,13.0,636739.24,No
CMRP24040105,No.5 Upper East Avenue BMS,2633467.86,JNL,20.0,23.1,608098.14,No
CMRP24060224,URC Cavite Dynamite SCADA PLC Upgrade,1197956,RPP,63.0,37.0,443243.72,No
CMRP25020047,URC Pamp2 Boiler PLC Upgrade,434910.71,JNL,0.0,100.0,434910.71,No
CMRP24040149,URC Cavite Enrober Electrical control upgrade,778174.11,RAS,80.1,50.1,389496.33,Yes
CMRP24070294,Maxeon SunPower Max8 Pilot Line SCADA Integration,1382550,JBN,75.0,25.0,345637.50,No
CMRP24070247,Megaworld VGC Terminal Canopy EE & AUX Works,357686.61,DIFSYS,0.0,90.0,321917.95,No
CMRP23060160,URC SP1 Green Bean Silo Automation,5853561.07,RPP,90.0,5.0,292678.05,No
CMRP23110415,Maxeon Sunpower FAB4 TGMS SCADA,4796441.61,JBN,95.0,5.0,239822.08,No
CMRP23090292,URC CAL2 Piattos Fryer PLC Upgrade,568947.14,DOTX,100.0,40.0,227578.86,Yes
CMRP24100455,PRL Extruder System Rehabilitation,397321.43,DOTX,50.0,50.0,198660.71,No
CMRP24080303,Netpac Gentry BMS Installation - RESI,423600,JNL,30.0,42.0,177912.00,No
CMRP24060240,URC Cavite Pretzel Oven Electrical Panel Upgrade,493886.61,RAS,35.8,35.8,176688.27,Yes
CMRP23090313,Megaworld Pasudeco Tower BMS,3405377.319,RAS,100.0,5.0,170268.87,Yes